里[裏]	li3	1A0AENG ◼ inside, interior, internal ◼ within ◼ lining, inside (of clothing)GER ◼ intern, innereRAD ◼ KangXi 166: villageINFORMATION1A0PVARIANTS: 里/裡CHARACTER1A0PSTROKES: (7)񳲂 񳲃 񳲄 񳲅 񳲇 񳲈 񳲉COMPONENTS: ◼ 依 [yī]: form: inner layer of clothing◼ 里 [lǐ]: sound
里[裡]	li3	1A0AENG ◼ insideGER ◼ in, innenRAD ◼ KangXi 166: villageINFORMATION1A0PVARIANTS: 里/裏CHARACTER1A0PSTROKES: (7)񳲂 񳲃 񳲄 񳲅 񳲇 񳲈 񳲉COMPONENTS: ◼ 衤 [yī]: form: inner layer of clothing◼ 里 [lǐ]: sound
力	li4	1A0AENG ◼ power, strength, force ◼ ability, capability ◼ vigor ◼ energetically, strenuouslyGER ◼ KraftRAD ◼ KangXi 19: power, strengthINFORMATION1A0PDISTINGUISH FROM: 刀 [dāo]CHARACTER1A0PSTROKES: (2)񄛩 񄛪MNEMONICS: ◼ image of a man 人 flexing his muscles ◼ a plowMEANING AS COMPONENT: ◼ force, power ◼ effort, exertion ◼ industrious thingsORIGINS: 力 is a picture of a plow.ANCIENT FORM: AA10񴔇OCCURRENCES1A0PRELATIVES: 男 [nán] · 历 [lì] · 边 [biān] A0PAA00https://zi.tools/zi/力
茻	mang3	1A0ARAD ◼ Shuowen Jiezi  14CHARACTER1A0PSTROKES: (12)COMPONENTS: ◼ 屮 [chè]: form/meaning: vegetationMEANING AS COMPONENT: ◼ vegetation, grassORIGINS: 茻 probably means numerous grass or weeds. In ancient character forms, the components 茻 and 艹 were used interchangeably dud to similar meaning. A0PAA00https://zi.tools/zi/茻
门[門]	men2	1A0AENG ◼ entrance (of a building, vehicle or vessel) ◼ switch, valve ◼ method, knack ◼ family, branch ◼ class, category ◼ school (of thought), (religious) sectGER ◼ Tor, EingangMW ◼ lessons, subjects, fields of study, branches of technology ◼ language ◼ large guns, cannon ◼ relative ◼ marriageRAD ◼ KangXi 169: gateCHARACTER1A0PSTROKES: (3)񄩀 񄩁 񄩂MNEMONICS: ◼ a pair of swinging doorsMEANING AS COMPONENT: ◼ entrance, gate ◼ opening, closingORIGINS: 门 is an abbreviated form of 門. It depicts a double-sided door.ANCIENT FORM: AA10񄨽񄨾OCCURRENCES1A0PRELATIVES: 们/們 [men] · 开/開 [kāi] A0PAA00https://zi.tools/zi/门https://zi.tools/zi/門
米	mi3	1A0AENG ◼ (uncooked) riceGER ◼ (ungekochter) ReisMW ◼ meter (unit of length)RAD ◼ KangXi 119: riceCHARACTER1A0PSTROKES: (6)񃋼 񃋽 񃋾 񃋿 񃌀 񃌁MNEMONICS: ◼ rice growing in a paddie, the horizontal line is the water lineMEANING AS COMPONENT: ◼ grain ◼ particulate (general term)ORIGINS: 米 depicts grains of rice.ANCIENT FORM: AA10񃋺OCCURRENCES1A0PRELATIVES: 数 [shù] A0PAA00https://zi.tools/zi/米
冖	mi4	1A0ARAD ◼ KangXi 14: cover ◼ aka 秃宝盖 [tūbǎogài] or 平宝盖 [píngbǎogài]INFORMATION1A0PDISTINGUISH FROM: 一 [yī] · 亠 [tóu] · 宀 [mián] · 乛 [zhé]CHARACTER1A0PSTROKES: (2) A0PAA00https://zi.tools/zi/冖
宀	mian2	1A0ARAD ◼ KangXi 40: roofINFORMATION1A0PDISTINGUISH FROM: 一 [yī] · 亠 [tóu] · 冖 [mì] · 乛 [zhé]CHARACTER1A0PSTROKES: (3)񁓈 񁓉 񁓊MNEMONICS: ◼ The dot on top may represent a chimney, the edges eaves.MEANING AS COMPONENT: ◼ things related to houses and buildingsORIGINS: 宀 is a picture of a house, which is the original meaning. In comparison to 广 [yǎn], this house probably has all four walls.ANCIENT FORM: AA10񁓆OCCURRENCES1A0PRELATIVES: 家 [jiā] · 客 [kè] A0PAA00https://zi.tools/zi/宀
木	mu4	1A0AENG ◼ tree ◼ wood, lumber, timber ◼ wooden ◼ senseless, numb, simple, dull, slow-witted ◼ coffinGER ◼ Baum, ◼ Holz, Nutzholz ◼ hölzern ◼ erstarrt, empfindungslos, taubRAD ◼ KangXi 75: treeINFORMATION1A0PVARIANTS: 朩DISTINGUISH FROM: 禾 [hé] · 釆 [biàn] · 米 [mǐ]CHARACTER1A0PSTROKES: (4)񄦚 񄦛 񄦜 񄦝MNEMONICS: ◼ a willow treeMEANING AS COMPONENT: ◼ wooden things ◼ trees related like fruits.ORIGINS: 木 depicts a tree with the upper part resembling a branch and the lower part resembling a root.ANCIENT FORM: AA10񄦘OCCURRENCES1A0PRELATIVES: 床 [chuáng] · 果 [guǒ] · 本 [běn] A0PAA00https://zi.tools/zi/木
目	mu4	1A0AENG ◼ eye ◼ look, regard ◼ item ◼ list, catalogue ◼ division, section ◼ order (taxonomy) ◼ topic ◼ mesh, grit size (as abbr.)GER ◼ Auge ◼ betrachten, sehen ◼ Verzeichnis, Index, Katalog, Liste ◼ Ordnung (Taxonomie)RAD ◼ KangXi 109: eyeINFORMATION1A0PVARIANTS: 罒DISTINGUISH FROM: 日 [rì] · 曰 [yuē] · 臼 [jiù]CHARACTER1A0PSTROKES: (5)񳗚 񳗛 񳗜 񳗝 񳗞MNEMONICS: ◼ an eye with iris/pupil, topic is something that catches the eyeMEANING AS COMPONENT: ◼ eyes and what you use them for (look, inspect) ◼ conciousnessORIGINS: 目 depicts a human eye. As a component, it is often written 罒. However, 罒 has another origin as the component form of radical 网 [wǎng].ANCIENT FORM: AA10񱨑OCCURRENCES1A0PRELATIVES: 看 [kàn] · 眼 [yǎn] A0PAA00https://zi.tools/zi/目
女	nv3	1A0AENG ◼ woman, female ◼ girl, daughter, maiden ◼ feminineGER ◼ Frau ◼ Tochter ◼ weiblichRAD ◼ KangXi 38: womanOPP ◼ 男 [nán]CHARACTER1A0PSTROKES: (3)񃶙 񃶚 񃶛MNEMONICS: ◼ looks like a woman sitting down with legs crossedMEANING AS COMPONENT: ◼ feminine things ◼ having to do with people in general ◼ marriage and courtshipORIGINS: 女 is a picture of the side view of a woman in a kneeling-sit position. It is unclear whether the ancient character shows the woman's arms folded over her chest or her breasts. The original meaning is woman.ANCIENT FORM: AA10񃶗OCCURRENCES1A0PRELATIVES: 好 [hǎo]WORDS: 妈妈 [māma] · 妹妹 [mèimei] · 姐姐 [jiějie] A0PAA00https://zi.tools/zi/女
丿	pie3	1A0ARAD ◼ KangXi 4: slash ◼ 撇 [piě]INFORMATION1A0PVARIANTS: 乀 · 乁CHARACTER1A0PSTROKES: (1)丿 A0PAA00https://zi.tools/zi/丿
